old_cloudinary_url,old_cloudinary_unversioned_url,old_images_url,old_images_unversioned_url,cloudinary_public_id,original_filename,local_filename,target_s3_key,new_public_url,resource_type,type,format,version,bytes,width,height,created_at
https://res.cloudinary.com/dg6smdedp/image/upload/v1680966528/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1680966528/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv,,migration/cloudinary-downloads/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,https://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,image,upload,jpg,1680966528,3417314,3000,2681,2023-04-08T15:08:48Z
https://res.cloudinary.com/dg6smdedp/image/upload/v1680966495/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1680966495/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f,,migration/cloudinary-downloads/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,https://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,image,upload,jpg,1680966495,924491,1400,1251,2023-04-08T15:08:15Z
https://res.cloudinary.com/dg6smdedp/image/upload/v1680965900/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1680965900/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw,,migration/cloudinary-downloads/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,https://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,image,upload,jpg,1680965900,924491,1400,1251,2023-04-08T14:58:20Z
https://res.cloudinary.com/dg6smdedp/image/upload/v1680965677/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1680965677/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,A_Cole_Cookham_IMG_1642_zoom_crop_a1atym,,migration/cloudinary-downloads/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,https://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,image,upload,jpg,1680965677,121031,392,350,2023-04-08T14:54:37Z
https://res.cloudinary.com/dg6smdedp/image/upload/v1768868710/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1768868710/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt,,migration/cloudinary-downloads/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,https://img.bedfordfineartgallery.com/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,image,upload,jpg,1768868710,1887830,2169,3000,2026-01-20T00:25:10Z
https://res.cloudinary.com/dg6smdedp/image/upload/v1755907139/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1755907139/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu,,migration/cloudinary-downloads/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,https://img.bedfordfineartgallery.com/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,image,upload,jpg,1755907139,324381,1200,913,2025-08-22T23:58:59Z
https://res.cloudinary.com/dg6smdedp/image/upload/v1755907110/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1755907110/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa,,migration/cloudinary-downloads/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,https://img.bedfordfineartgallery.com/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,image,upload,jpg,1755907110,32592,392,274,2025-08-22T23:58:30Z
https://res.cloudinary.com/dg6smdedp/image/upload/v1768853281/a_f_king_quiet_stream_ap_amaqdq.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/a_f_king_quiet_stream_ap_amaqdq.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1768853281/a_f_king_quiet_stream_ap_amaqdq.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/a_f_king_quiet_stream_ap_amaqdq.jpg,a_f_king_quiet_stream_ap_amaqdq,,migration/cloudinary-downloads/a_f_king_quiet_stream_ap_amaqdq.jpg,a_f_king_quiet_stream_ap_amaqdq.jpg,https://img.bedfordfineartgallery.com/a_f_king_quiet_stream_ap_amaqdq.jpg,image,upload,jpg,1768853281,2069595,4000,2845,2026-01-19T20:08:01Z
https://res.cloudinary.com/dg6smdedp/image/upload/v1768853128/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1768853128/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o,,migration/cloudinary-downloads/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,https://img.bedfordfineartgallery.com/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,image,upload,jpg,1768853128,38595,392,270,2026-01-19T20:05:28Z
https://res.cloudinary.com/dg6smdedp/image/upload/v1768853246/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1768853246/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2,,migration/cloudinary-downloads/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,https://img.bedfordfineartgallery.com/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,image,upload,jpg,1768853246,993775,2400,1812,2026-01-19T20:07:26Z
