local_path,size_bytes,target_s3_key,s3_uri,new_public_url,old_cloudinary_url,old_images_url,cloudinary_public_id
migration/cloudinary-downloads/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,3417314,A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,s3://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,https://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1680966528/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1680966528/A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv.jpg,A_Cole_Cookham_IMG_1642_lrg_cr_fr_sp8dpv
migration/cloudinary-downloads/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,924491,A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,s3://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,https://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1680966495/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1680966495/A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f.jpg,A_Cole_Cookham_IMG_1642_sm_cr_fr_bnrp6f
migration/cloudinary-downloads/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,924491,A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,s3://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,https://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1680965900/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1680965900/A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw.jpg,A_Cole_Cookham_IMG_1642_sm_cr_fr_hokxjw
migration/cloudinary-downloads/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,121031,A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,s3://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,https://img.bedfordfineartgallery.com/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1680965677/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1680965677/A_Cole_Cookham_IMG_1642_zoom_crop_a1atym.jpg,A_Cole_Cookham_IMG_1642_zoom_crop_a1atym
migration/cloudinary-downloads/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,1887830,a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,s3://img.bedfordfineartgallery.com/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,https://img.bedfordfineartgallery.com/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1768868710/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1768868710/a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt.jpg,a_f_king_clay_jug_goblet_peaches_grapes_ibjdtt
migration/cloudinary-downloads/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,324381,A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,s3://img.bedfordfineartgallery.com/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,https://img.bedfordfineartgallery.com/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1755907139/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1755907139/A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu.jpg,A_F_King_Peaches_and_Grapes_sm_cr_fr_pkbihu
migration/cloudinary-downloads/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,32592,A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,s3://img.bedfordfineartgallery.com/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,https://img.bedfordfineartgallery.com/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1755907110/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1755907110/A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa.jpg,A_F_King_Peaches_and_Grapes_zoom_cr_kbwfqa
migration/cloudinary-downloads/a_f_king_quiet_stream_ap_amaqdq.jpg,2069595,a_f_king_quiet_stream_ap_amaqdq.jpg,s3://img.bedfordfineartgallery.com/a_f_king_quiet_stream_ap_amaqdq.jpg,https://img.bedfordfineartgallery.com/a_f_king_quiet_stream_ap_amaqdq.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1768853281/a_f_king_quiet_stream_ap_amaqdq.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1768853281/a_f_king_quiet_stream_ap_amaqdq.jpg,a_f_king_quiet_stream_ap_amaqdq
migration/cloudinary-downloads/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,38595,A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,s3://img.bedfordfineartgallery.com/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,https://img.bedfordfineartgallery.com/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1768853128/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1768853128/A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o.jpg,A_F_King_Quiet_Stream_IMG_2598_full_gall_cr_vy891o
migration/cloudinary-downloads/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,993775,A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,s3://img.bedfordfineartgallery.com/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,https://img.bedfordfineartgallery.com/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1768853246/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1768853246/A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2.jpg,A_F_King_Quiet_Stream_IMG_2598_lrg_cr_fr_emucz2
